2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:02.084 [http-nio-8080-exec-9] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:46:02.085 [http-nio-8080-exec-9] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:46:02.092 [http-nio-8080-exec-9] INFO  c.e.demo.service.CustomerService - Successfully retrieved 1 customers on page 0
2025-07-11 09:46:14.897 [http-nio-8080-exec-10] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:14.898 [http-nio-8080-exec-10] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:14.898 [http-nio-8080-exec-10] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:46:14.898 [http-nio-8080-exec-10] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:14.898 [http-nio-8080-exec-10] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=United Kingdom, city=Southend-on-Sea} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:14.899 [http-nio-8080-exec-10] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=United Kingdom, city=Southend-on-Sea} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:14.899 [http-nio-8080-exec-10] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:46:14.899 [http-nio-8080-exec-10] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'city' and value: 'Southend-on-Sea'
2025-07-11 09:46:14.899 [http-nio-8080-exec-10] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:46:14.905 [http-nio-8080-exec-10] INFO  c.e.demo.service.CustomerService - Successfully retrieved 1 customers on page 0
2025-07-11 09:46:20.515 [http-nio-8080-exec-1] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:20.516 [http-nio-8080-exec-1] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:20.516 [http-nio-8080-exec-1] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:46:20.516 [http-nio-8080-exec-1] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:20.516 [http-nio-8080-exec-1] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:20.517 [http-nio-8080-exec-1] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=United Kingdom} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:20.517 [http-nio-8080-exec-1] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'United Kingdom'
2025-07-11 09:46:20.517 [http-nio-8080-exec-1] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:46:20.524 [http-nio-8080-exec-1] INFO  c.e.demo.service.CustomerService - Successfully retrieved 1 customers on page 0
2025-07-11 09:46:29.559 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:29.559 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:29.559 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:46:29.560 [http-nio-8080-exec-2] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:29.560 [http-nio-8080-exec-2] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive, country=Egypt} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:29.560 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive, country=Egypt} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:29.560 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'Egypt'
2025-07-11 09:46:29.560 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:46:29.566 [http-nio-8080-exec-2] INFO  c.e.demo.service.CustomerService - Successfully retrieved 0 customers on page 0
2025-07-11 09:46:38.517 [http-nio-8080-exec-5] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:38.517 [http-nio-8080-exec-5] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:38.519 [http-nio-8080-exec-5] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:46:38.519 [http-nio-8080-exec-5] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:38.519 [http-nio-8080-exec-5] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {status=inactive} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:38.519 [http-nio-8080-exec-5] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {status=inactive} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:38.519 [http-nio-8080-exec-5] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'inactive'
2025-07-11 09:46:38.544 [http-nio-8080-exec-5] INFO  c.e.demo.service.CustomerService - Successfully retrieved 10 customers on page 0
2025-07-11 09:46:52.428 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:46:52.428 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
